domain,batch,inbox_count,source,notes,subcategory
bridgeandscale.one,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
bridgeandscale.online,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
bridgeandscale.pro,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
bridgeandscale.xyz,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
buildpipelinewithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
closedealswithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
dealswithamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
dealswithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
demandnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
digitalflowbiz.info,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
driveandgrowth.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
focusandgrowth.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
focusandscale.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
getamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
getarnicbizsolutions.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
getarnicsolutions.biz,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
getarnicsolutions.info,arnic-jacki-arnic-hypertide-azure,50,inferred-from-persona+brand-2026-05-19,,
geteasysales.com,client-backups-jane-smithson-hypertide-azure,51,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
getgtmnavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
getnavreo.biz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
getnavreo.com,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
getnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
getnavreoai.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
getnavreogrowth.info,navreo-bjion-henry-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
getnavreogrowth.org,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
getsalesgtmwithnavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
getsalesnavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
goamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
gonavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
growandlead.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
growandscale.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
growthamplifyy.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
growthnavreo.biz,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
growthnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
growthwithamplifyy.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
growthwithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
gtmnavreo.biz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmnavreo.com,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmnavreo.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmnavreo.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmwithnavreo.biz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmwithnavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
gtmwithnavreo.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmwithnavreo.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
gtmwithnavreo.xyz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
hellonavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
heyamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
heynavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
intentnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
launchnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
launchwithamplifyy.info,amplifyy-kevin-dormer-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Kevin Dormer persona,
launchwithnavreo.digital,navreo-bjion-henry-hypertide-azure,52,user-declared-2026-05-19-disambiguation,Navreo-branded but Jane Smithson persona — user-disambiguated 2026-05-19 as Navreo Bjion Henry Hypertide Azure,
launchwithnavreo.info,navreo-bjion-henry-hypertide-azure,52,user-declared-2026-05-19-disambiguation,Navreo-branded but Jane Smithson persona — user-disambiguated 2026-05-19 as Navreo Bjion Henry Hypertide Azure,
leadswithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
learnsaleswithnavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
learnwithnavreo.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
liftandgrowth.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
liftwithamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
myamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
myeasysales.info,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
mynavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
mystrategysuccess.com,client-backups-jane-smithson-hypertide-azure,50,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
navreo.biz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreo.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreoacquisition.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoacquisition.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoagency.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoagencyai.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreoaiagency.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreoamplify.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoautomation.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreobookings.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreobookings.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoboost.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreocampaign.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoconnect.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoconversion.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoconversion.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodealengine.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodealengine.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodeals.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodeals.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodemand.digital,navreo-bjion-henry-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
navreodemand.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodemandengine.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodemandengine.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodemandflow.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodemandflow.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreodigital.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreoengine.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoexpand.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoexpansion.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoexpansion.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoflow.pro,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreofunnel.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreofunnel.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreogotomarket.biz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreogotomarket.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreogotomarket.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreogrowth.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreogrowth.info,navreo-bjion-henry-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
navreogtm.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreogtm.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreogtm.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreogtmflow.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreogtmflow.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreogtmstrategy.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoinsights.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreointent.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreolabs.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreolabs.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoleads.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreoleads.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreomeetingengine.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreomeetingengine.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreomeetings.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoops.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoops.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreooutbound.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreooutbound.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreooutbound.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreooutreach.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreooutreach.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreoperformance.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreopipeline.biz,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreopipeline.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreopipeline.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreopipelineengine.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreopipelineengine.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreopipelineflow.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreopipelineflow.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoplaybook.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoprospecting.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoreach.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreoreach.me,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreoreach.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreoreach.xyz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreoreplies.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreoresults.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreorevenue.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreorevenue.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreorevenue.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreorevenueengine.digital,navreo-bjion-henry-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
navreorevenueengine.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreorevenueflow.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreorevenueflow.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosales.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreosales.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosales.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosalestech.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreoscale.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoscale.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreoscaling.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosignals.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosignals.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosolutions.com,navreo-bjion-henry-hypertide-azure,3,inferred-from-persona+brand-2026-05-19,,
navreostrategy.info,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreostrategy.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreostrategy.xyz,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
navreosystem.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
navreosystems.digital,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
navreosystems.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
oliviaduncan.info,olivia-duncan-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
oliviaduncaninteriors.info,olivia-duncan-hypertide-azure,51,inferred-from-persona+brand-2026-05-19,,
outboundnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
outboundwithnavreo.biz,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
outreachnavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
outreachwithnavreo.org,navreo-bjion-henry-boomerang,3,user-declared-2026-05-19,,
performancewithamplifyy.info,amplifyy-kevin-dormer-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
pipelinenavreo.info,navreo-bjion-henry-maildoso,8,user-declared-2026-05-19,,
pipelinewithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
planandgrow.biz,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
planandgrowth.com,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandgrowth.info,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandgrowth.online,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandgrowth.xyz,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandsign.info,client-backups-jane-smithson-maildoso,8,user-declared-2026-05-19-by-persona-rule,Reclassified from hypertide-dnsimple based on smtp.maildoso.com + Jane Smithson persona,
planandvision.click,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandvision.info,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandvision.one,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandvision.org,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
planandvision.xyz,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
playbookswithnavreo.info,navreo-bjion-henry-hypertide-azure,52,inferred-from-persona+brand-2026-05-19,,
reachalign.click,navreo-bjion-henry-zapmail,8,user-retired-2026-05-19,Reclassified 2026-05-19 from retired-client-mailboxes to navreo-bjion-henry-zapmail after Zapmail alert emails confirmed ClouDNS NS expectation. NS restored via Porkbun. RETIRED 2026-05-19. Broken DNS at DNSimple. 54 sleepiron inboxes already removed from Smartlead; 27 ben@ remained at audit time.,
reachalign.info,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
reachalign.net,client-backups-jane-smithson-hypertide-azure,52,user-declared-2026-05-19-screenshot-evidence,Hypertide-Azure-managed; NOT in user Porkbun account; Jane Smithson persona; 52 inboxes,
