campaign_platform_id,client_id,campaign_name,campaign_status,proposed_mechanism,proposed_list_source,proposed_offer_type,confidence,APPROVE (y/n/correction)
sl:3509015,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3507285,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3539623,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3488469,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3612630,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3487934,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3478823,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3451853,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3445512,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3245502,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3495919,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3477410,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3472186,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3472182,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3472175,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3472168,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3612093,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3252219,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3245513,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3539521,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3445226,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3053890,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3043811,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3022888,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3022883,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2949363,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3082288,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:2995325,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3602180,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3602158,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3538259,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3471148,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3471021,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3470885,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3470758,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3324893,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3274584,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3244834,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3175139,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3175062,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3082230,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3053915,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3041396,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3027254,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3026583,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3470873,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3356276,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3356263,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3336739,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3324541,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3322612,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3315725,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3281643,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3209322,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3177091,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3109275,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3054385,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3048126,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3407229,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3331500,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3022892,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2995297,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3602200,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3602171,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3471019,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3470920,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3470786,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3324845,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3278375,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3244830,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3235713,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3221040,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3107514,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3054150,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3054067,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3044413,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2960368,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3234685,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3229013,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3224804,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3026965,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2931527,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2964424,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2961281,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2948789,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3471027,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3471017,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3470902,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3602189,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3601163,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3579911,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3470832,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3470803,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3175114,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3175049,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3175031,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174627,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174564,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3174521,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3054061,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3044364,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3043850,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3022837,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3011860,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3011787,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2973670,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2969261,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3146421,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3145796,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3465109,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3189284,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3152087,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3146705,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3134278,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3124138,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3124134,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3124118,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3124113,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3124109,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3113544,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2969266,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2964429,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3151058,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3507272,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3147798,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3146971,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3146866,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3146821,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3146573,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2887822,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3181042,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3175082,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:2884844,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2870523,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2847783,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2847754,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174753,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3579946,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3579924,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3576109,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3488226,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3471155,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3471153,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3471152,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3407207,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3401560,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3400779,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3396217,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3285012,navreo,Interested Reply,ACTIVE,targeted-list,,,low,
sl:3280703,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279784,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279765,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279745,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279469,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279375,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279226,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3278940,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3278729,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3278551,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3022880,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279345,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3278744,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3278382,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3279326,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:2885173,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3279263,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174727,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174690,navreo,Interested Reply,PAUSED,targeted-list,,,low,
sl:3174667,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174642,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3174496,navreo,Interested Reply,DRAFTED,targeted-list,,,low,
sl:3550325,navreo,Interested Reply (Sales tech adoption),DRAFTED,targeted-list,,,low,
sl:3506834,navreo,Interested Reply (Sales tech adoption),DRAFTED,targeted-list,,,low,
sl:3464935,navreo,Interested Reply (Sales tech adoption),DRAFTED,targeted-list,,,low,
sl:3506764,navreo,Interested Reply (Sales tech adoption),DRAFTED,targeted-list,,,low,
sl:3422167,navreo,Interested Reply (Sales tech adoption),ACTIVE,targeted-list,,,low,
sl:3580294,navreo,Interested Reply (Sales tech adoption),DRAFTED,targeted-list,,,low,
sl:3464921,navreo,Interested Reply (Sales tech adoption),DRAFTED,targeted-list,,,low,
sl:2714484,navreo,Meeting request,DRAFTED,targeted-list,,,low,
sl:2870553,navreo,Meeting request,DRAFTED,targeted-list,,,low,
sl:2742757,navreo,Meeting request,DRAFTED,targeted-list,,,low,
sl:2600156,navreo,Meeting request,PAUSED,targeted-list,,,low,
sl:2887821,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3044428,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3224803,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3221041,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2887537,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3022838,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2969262,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2964425,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279468,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279376,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3471126,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3471085,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3174754,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3470984,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3083007,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3470811,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3278939,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3465110,navreo,Meeting Request,ACTIVE,targeted-list,,,low,
sl:3464936,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3324892,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2884782,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2884740,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3278374,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3244831,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2884522,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3236067,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3235712,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2870524,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3214954,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3027220,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2847784,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3054149,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3279344,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3054066,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3048075,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3278728,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2960369,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:2783132,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2960148,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3234686,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3229014,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3044259,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3579947,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279325,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3602159,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3471119,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3174643,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3022893,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3174726,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3579923,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3602190,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3579912,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3602181,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3576110,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279360,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3470775,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3470963,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3181043,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3146706,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279541,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3107561,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3055025,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3146422,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3109298,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3507271,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3174691,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3407208,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3119586,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3471109,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3113545,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3470994,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3470952,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3281642,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3470823,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3470794,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3111678,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3356262,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2995298,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3324846,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3324617,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3280769,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279098,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:2931526,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3602172,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3175032,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3082287,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3601164,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3082229,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3054386,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3538258,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3053889,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3044429,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3043428,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3151057,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279783,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3022881,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3579959,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3580295,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3245503,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3252218,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3575787,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3507033,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3507068,navreo,Meeting Request,PAUSED,targeted-list,,,low,
sl:3507263,navreo,Meeting Request,ACTIVE,targeted-list,,,low,
sl:3109306,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3407230,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3147799,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3356275,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279766,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3343014,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3336740,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3146972,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3331501,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3174668,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3324540,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3322674,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3146867,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3317161,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3279746,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
sl:3315724,navreo,Meeting Request,DRAFTED,targeted-list,,,low,
